2024-03-23 19:40:47 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-2] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-23 19:40:47 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-2] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#33c9f1ac:1/SimpleConnection@33c4fb3 [delegate=amqp://guest@192.168.50.141:5672/, localPort=58359]
2024-03-23 19:40:47 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-2] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.iN2XmyspQguJthy7purv_w) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
2024-03-23 20:12:41 [AMQP Connection 192.168.50.141:5672] WARN  c.r.c.impl.ForgivingExceptionHandler - An unexpected connection driver error occurred (Exception message: Connection reset)
2024-03-23 20:12:42 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-2] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@176c6e5b: tags=[[amq.ctag-nYjItLhgigCEf-qb1eXv0A]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@192.168.50.141:5672/,2), conn: Proxy@7ef7faa9 Shared Rabbit Connection: SimpleConnection@33c4fb3 [delegate=amqp://guest@192.168.50.141:5672/, localPort=58359], acknowledgeMode=AUTO local queue size=0
2024-03-23 20:12:42 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-3] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-23 20:12:42 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-3] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#33c9f1ac:2/SimpleConnection@576f7254 [delegate=amqp://guest@192.168.50.141:5672/, localPort=65264]
2024-03-23 20:12:42 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-3] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.iN2XmyspQguJthy7purv_w) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
2024-03-23 22:30:04 [AMQP Connection 192.168.50.141:5672] WARN  c.r.c.impl.ForgivingExceptionHandler - An unexpected connection driver error occurred (Exception message: Connection reset)
2024-03-23 22:30:05 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-3] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@686b9e15: tags=[[amq.ctag-hu33VBqdqINyGxoQ4Eq0qQ]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@192.168.50.141:5672/,2), conn: Proxy@7ef7faa9 Shared Rabbit Connection: SimpleConnection@576f7254 [delegate=amqp://guest@192.168.50.141:5672/, localPort=65264], acknowledgeMode=AUTO local queue size=0
2024-03-23 22:30:05 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-4] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-23 22:30:05 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-4] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#33c9f1ac:3/SimpleConnection@5d480239 [delegate=amqp://guest@192.168.50.141:5672/, localPort=64597]
2024-03-23 22:30:05 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-4] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.iN2XmyspQguJthy7purv_w) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
2024-03-23 23:00:48 [AMQP Connection 192.168.50.141:5672] WARN  c.r.c.impl.ForgivingExceptionHandler - An unexpected connection driver error occurred (Exception message: Connection reset)
2024-03-23 23:00:48 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-4] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@bdf75ab: tags=[[amq.ctag-S4OO8NwJw8Ng3x_RRmCK_A]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@192.168.50.141:5672/,2), conn: Proxy@7ef7faa9 Shared Rabbit Connection: SimpleConnection@5d480239 [delegate=amqp://guest@192.168.50.141:5672/, localPort=64597], acknowledgeMode=AUTO local queue size=0
2024-03-23 23:00:48 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-5] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-23 23:00:48 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-5] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#33c9f1ac:4/SimpleConnection@13ee1ccf [delegate=amqp://guest@192.168.50.141:5672/, localPort=64991]
2024-03-23 23:00:48 [springCloudBus.anonymous.iN2XmyspQguJthy7purv_w-5] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.iN2XmyspQguJthy7purv_w) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
